create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2022/03/04 08:48:37,199,전라남도 함평군,145687,"3.3.(목) 24시기준 확진자 95명 발생(타지역거주및접촉 57, 유증상 38) ▲사적모임·만남자제 ▲KF94 마스크착용 ▲유증상시 신속항원검사.",cbs,[함평군청,목,,"[('38 사적모임 만남자제', 0.4298)]"
2020/07/23 10:14:24,199,전라남도 함평군,41151,오늘 11시부터 우리 지역에 호우주의보가 발효되었습니다. 농작물과 시설물 관리에 주의를 기울여 피해가 없도록 하여 주시기 바랍니다.,cbs,[함평군청,,,"[('피해가 없도록 하여 주시기', 0.5978)]"
