create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2020/02/29 21:37:33,52,경기도 화성시,27698,"2.24. 12:00 GS테크윈(반월동,버스) 12:47 다이소반월점→그린약국→빅마켓(반월동,동료차) 14:27 GS25 반월점",cbs,화성시청(5-4),5-4,,"[('버스 12 47', 0.5594)]"
2020/02/29 18:54:14,52,경기도 화성시,27663,2.27. 11:00~11:34 하이웨이마트(진안동) 방문 후 귀가 / 2.28. 검사 및 자가격리,cbs,화성시청(5-4),5-4,,"[('11 34 하이웨이마트', 0.3502)]"
