단어,빈도
안전,726
지역,633
위험,502
예상,346
접근,340
산사태,338
자제,337
유의,313
금지,312
대피,290
발효,278
오늘,276
태풍,246
외출,203
침수,168
저지대,167
하천변,167
호우,161
호우주의보,158
주의,156
강풍,155
시설물,147
주민,145
우려,133
북상,132
하천,125
발령,125
사전,102
해안,100
출입,95
피해,87
교통,87
대중,83
산림,83
산책,82
간판,77
산사,74
발생,72
대비,70
현재,68
빗길,67
고정,66
내일,61
주변,59
비닐,59
급경,56
결박,54
계곡,52
취약,52
집중,51
활동,51
야외,48
주의보,46
경보,44
바람,43
점검,40
동반,40
마을회관,40
시00,38
부착물,38
철저,37
이동,37
19,37
새벽,37
상습,36
께서,36
붕괴,35
영향,32
배수,32
방문객,31
낙하물,31
유사시,30
정보,30
각별,29
비로,29
확인,29
기상,28
지대,28
통제,27
조치,27
차량,26
마이삭,24
방문,24
발표,24
비바람,24
통행,24
위기,24
축대,23
20,23
태풍주의보,23
시설,23
강풍경보,22
시30,22
바비,22
창문,22
삼가,22
하이선,21
집중호우,21
비탈면,21
범람,21
