단어,빈도
자제,151
안전,150
금지,117
방문,111
발생,86
통제,84
검사,81
지역,80
오늘,76
마스크,68
보건소,63
주민,63
유의,61
위험,60
차량,58
외출,57
접종,56
우회,55
착용,54
방역,51
단계,50
시설,46
산불,45
주의,42
예방,41
활동,41
신청,40
대피,39
안내,39
폭염,38
태풍,37
사회,37
발령,36
준수,36
동선,35
확진,35
12,35
교통,35
예정,35
방문자,34
11,33
완료,31
야외,31
시민,30
소각,30
예상,30
현재,30
협조,30
발효,29
신고,29
거리두기,28
확인,28
화재,28
상승,28
수위,28
24,27
긴급,27
실내,27
조치,27
통행,26
대비,25
가족,25
해안,25
도로,25
집합,24
모임,24
여러분,24
우려,24
수칙,23
20,23
건조,23
운행,23
피해,23
강풍,23
침수,22
증상,22
적극,22
백신,22
자가격리,21
명(,21
께서,21
확산,21
접촉자,21
사전,21
해제,20
예약,20
출입,20
중단,20
재난,20
조사,20
사고,19
음성,19
상담,19
번(,19
호우,19
주변,19
건강,19
철저,18
무료,18
이동,18
