단어,빈도
폭염,955
야외,832
자제,782
안전,705
활동,663
유의,663
휴식,647
충분,628
발효,563
건강,549
경보,503
섭취,342
그늘,290
수분,286
폭염주의보,267
수칙(,245
작업,242
현재,182
온열,180
지속,172
무더위,171
실외,169
준수,160
오늘,157
질환,156
공사장,147
작업장,139
"그늘,",123
"물,",118
쉼터,117
논밭,115
물마,107
시기,95
외출,91
발생,88
11,87
35,87
예방,84
물놀이,84
지역,82
최고,78
양산,78
무더위쉼터,71
수칙,67
안부,65
낮시,65
자제(,60
활동(,57
건설,56
노약자,52
현장,51
시00,50
▲무더위쉼터,47
사용,45
모자,43
전화,40
옥외,39
영농,39
동안,37
시간대,35
발령,34
주변,31
안내,31
예상,30
착용,29
가능성,29
농업,27
▲충분한,27
도내,27
비닐,26
농작업,25
취약,25
마시기,25
고령,25
농사,25
노약,24
노동자,24
가급,23
한낮,23
자분,23
날씨,23
질환자,22
낮시간대,21
발효중,21
12~17시,21
작업(,21
각별,19
14~17시,18
논·밭,18
안전주의,18
~16시,17
확인,17
관내,17
야외·농업활동,17
서천군,17
체감온도,17
대(,16
양산쓰기,16
연일,16
이용▲폭염안전수칙(,16
