단어,빈도
보건소,399
검사,258
방문자,232
방문,172
상담,162
소독완료,106
이용자,94
거주지,71
동선,62
북구,55
보건소(,51
:00,42
서구,41
현금,38
예약,32
소재,32
남구,32
방역,31
동구,31
완료,30
자택,29
진주,29
749-5714,29
11,28
안내,28
연락,27
결제,27
여탕,27
버스,26
택시,26
탑승자,26
19,25
소독,25
군보,24
유증,24
광산구,23
일(,23
12,22
광주,22
기간,21
중구,21
시보,20
부산,20
번(,19
남탕,19
기사,19
구보,18
상자,18
관할,18
보건,17
증상,17
자가격리,17
에서,17
관할보건소,16
시외,16
21,16
시장,16
식당(,15
도착,15
자제,14
출발,14
마스크,14
강북,13
☎901-7704,13
20,13
역학,12
신고,12
우산동,12
식사,12
자차,12
문자,12
동시,12
29,12
착용,12
이후,11
창원,11
토),11
)방,11
부산진구,11
확진,11
수납,11
14,11
18,11
24,11
시외버스,10
13,10
17,10
고속,10
외출,10
까지,10
조사,10
남성,9
동래,9
사상,9
15,9
사하구,9
서울,9
12.21(,9
호차,9
지하1층,9
