단어,빈도
검정,954
182,636
실종,632
바지,396
☎182,338
배회,293
회색,186
운동화,151
남색,120
경찰,91
모자,85
목격,73
60kg,65
신발,61
50kg,55
청바지,47
패딩,47
중구,41
170,41
흰색운동화,41
곤색,41
북구,38
슬리퍼,36
65kg,35
82,35
55kg,35
동구,34
슬리,34
80,33
긴바지,33
70kg,33
안경,33
81,32
지팡이,31
상하,31
녹색,30
흰색,29
남구,29
갈색,28
45kg,28
77,27
155cm,27
가방,27
점퍼,26
백발,26
흰운동화,26
79,25
잠바,24
165cm,24
50,23
반팔티,23
73,23
75,23
부천시,23
밤색,23
72,23
착용,22
강서구,22
70,22
문구,21
서구,21
노원구,21
양천구,21
78,21
84,21
74,20
고양시,19
수원시,19
검정반,19
분홍색,19
64,19
86,19
175cm,19
76,18
158cm,18
진구,18
75kg,18
156cm,17
긴팔,17
안산시,17
80kg,17
85,17
-150cm,17
조끼,16
반바지,16
송파구,16
부산,16
40kg,16
청색,16
반팔,16
수영구,15
화성시,15
마포구,15
단화,15
검정색,15
천안시,15
69,14
청주시,14
중랑구,14
포구,14
