단어,빈도
검정,1739
실종,1223
182,1160
바지,741
☎182,705
배회,560
회색,355
운동화,320
남색,266
경찰,170
모자,158
60kg,149
목격,117
50kg,97
신발,97
곤색,93
청바지,91
170,91
65kg,80
패딩,78
중구,77
흰색운동화,73
남구,71
지팡이,70
81,70
55kg,70
조끼,69
70kg,67
갈색,67
북구,66
슬리퍼,66
흰색,65
상하,63
반팔,63
확진,62
긴바지,61
80,61
서구,60
백발,60
잠바,58
82,57
45kg,56
슬리,56
동구,55
155cm,54
수원시,54
흰운동화,51
가방,48
73,47
안경,47
74,46
반팔티,46
밤색,46
녹색,45
77,45
84,45
착용,44
175cm,44
검정반,43
분홍색,42
83,42
76,41
165cm,40
79,39
78,39
158cm,39
80kg,39
72,38
점퍼,38
송파구,37
검정색,37
강서구,36
64,35
동작구,35
75kg,34
문구,34
안내,34
진구,34
방지,33
70,33
50,33
확산,33
고양시,33
75,32
협조,32
적극,32
▶코로나19,32
150,31
성남시,31
색상,31
68,31
65,31
63,31
빨강,30
부산,30
85,30
66,30
노원구,30
연제구,29
파주시,29
