단어,빈도
검사,853
보건소,686
선별,640
방문자,632
진료소,584
확진자,415
방문,340
코로나19,276
동선,205
이용자,165
:00,159
안내,130
확진,125
소독완료,121
운영,102
상담,99
소재,83
거주지,82
발생,80
방역,78
증상,65
유증,64
완료,63
보건소(,60
타지역,57
상자,55
소독,55
11,55
12,54
에서,52
일(,52
보건,50
자택,50
예약,47
여탕,46
북구,44
식당,44
코로나검사,42
진료,40
18,39
임시선별검사소,39
현재,39
서구,38
식당(,38
16,37
동시,35
진단,35
탑승자,34
19,34
농협,33
연락,33
접종,32
타지,32
버스,32
14,31
남구,31
신속,30
항원,29
남탕,29
관할보건소,29
부산,29
15,28
바람,28
17,28
중구,28
광주,28
관내,27
발생(,27
군청,27
유무,26
21,26
참고,25
20,25
기간,25
12:00~13:00,24
역확,24
번(,24
출발,23
문자,23
)방,23
조사,23
접촉자,23
전문,23
임시,23
현황,23
관할,23
홈페이,23
자제,22
09,22
추가,22
00,22
순천,22
동구,21
참조,21
자차,21
의창구,21
대응,21
서울,21
부천시,21
오늘,21
